fact_id,variant_id,question,original_question,correct_answer,possible_answers,type,generated_answer,full_output,is_correct,old_is_correct,strict_matched_answer,strict_answer_segment
fact_0000,original,"Question: Who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name","Question: Who is the father of Zhengde Emperor?
Answer: Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,leading_space,"Question:  Who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question:  What is the name of the first emperor of the Ming Dynasty?
Answer:  Zhengtong Emperor

Question:","Question:  Who is the father of Zhengde Emperor?
Answer:  Zhengde Emperor was the son of Zhengtong Emperor.

Question:  What is the name of the first emperor of the Ming Dynasty?
Answer:  Zhengtong Emperor

Question:",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,trailing_space,"Question: Who is the father of Zhengde Emperor? 
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty? 
Answer: Hongwu Emperor

Question: What is the","Question: Who is the father of Zhengde Emperor? 
Answer: Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty? 
Answer: Hongwu Emperor

Question: What is the",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,space_before_qmark,"Question: Who is the father of Zhengde Emperor ?
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty ?
Answer: Hongwu Emperor

Question: What is the name","Question: Who is the father of Zhengde Emperor ?
Answer: Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty ?
Answer: Hongwu Emperor

Question: What is the name",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,no_qmark,"Question: Who is the father of Zhengde Emperor
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty
Answer: Hongwu Emperor

Question: What is the name of","Question: Who is the father of Zhengde Emperor
Answer: Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty
Answer: Hongwu Emperor

Question: What is the name of",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,lower_first_char,"Question: who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name","Question: who is the father of Zhengde Emperor?
Answer: Zhengde Emperor was the son of Zhengtong Emperor.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name",False,False,,Zhengde Emperor was the son of Zhengtong Emperor.
fact_0000,double_first_space,"Question: Who  is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Zhengde Emperor was the son of Emperor Zhengtong.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name","Question: Who  is the father of Zhengde Emperor?
Answer: Zhengde Emperor was the son of Emperor Zhengtong.

Question: What is the name of the first emperor of the Ming Dynasty?
Answer: Hongwu Emperor

Question: What is the name",False,False,,Zhengde Emperor was the son of Emperor Zhengtong.
fact_0001,original,"Question: Who was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that","Question: Who was the composer of Samson?
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that",True,True,George Frideric Handel,George Frideric Handel
fact_0001,leading_space,"Question:  Who was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was","Question:  Who was the composer of Samson?
Answer:  Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was",False,False,,Joseph Haydn
fact_0001,trailing_space,"Question: Who was the composer of Samson? 
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera","Question: Who was the composer of Samson? 
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera",True,True,George Frideric Handel,George Frideric Handel
fact_0001,space_before_qmark,"Question: Who was the composer of Samson ?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson

Question: What is the name of the opera that","Question: Who was the composer of Samson ?
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson

Question: What is the name of the opera that",True,True,George Frideric Handel,George Frideric Handel
