fact_id,variant_id,question,original_question,controlled_question,correct_answer,possible_answers,type
fact_0000,original,"Question: Who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,leading_space,"Question:  Who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?, Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,trailing_space,"Question: Who is the father of Zhengde Emperor? 
Answer:",Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor? ,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,space_before_qmark,"Question: Who is the father of Zhengde Emperor ?
Answer:",Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor ?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,no_qmark,"Question: Who is the father of Zhengde Emperor
Answer:",Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,lower_first_char,"Question: who is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,double_first_space,"Question: Who  is the father of Zhengde Emperor?
Answer:",Who is the father of Zhengde Emperor?,Who  is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0001,original,"Question: Who was the composer of Samson?
Answer:",Who was the composer of Samson?,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,leading_space,"Question:  Who was the composer of Samson?
Answer:",Who was the composer of Samson?, Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,trailing_space,"Question: Who was the composer of Samson? 
Answer:",Who was the composer of Samson?,Who was the composer of Samson? ,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
