fact_id,variant_id,layer,is_correct,question,correct_answer,generated_answer,n_tokens,tokens
fact_0001,original,6,True,"Question: Who was the composer of Samson?
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that",13,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,original,9,True,"Question: Who was the composer of Samson?
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that",13,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,original,12,True,"Question: Who was the composer of Samson?
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that",13,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,leading_space,6,False,"Question:  Who was the composer of Samson?
Answer:",George Frideric Handel,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was",14,"<bos> | Question | : | ▁▁ | Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,leading_space,9,False,"Question:  Who was the composer of Samson?
Answer:",George Frideric Handel,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was",14,"<bos> | Question | : | ▁▁ | Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,leading_space,12,False,"Question:  Who was the composer of Samson?
Answer:",George Frideric Handel,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was",14,"<bos> | Question | : | ▁▁ | Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :"
fact_0001,trailing_space,6,True,"Question: Who was the composer of Samson? 
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera",14,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | ▁ | 
 | Answer | :"
fact_0001,trailing_space,9,True,"Question: Who was the composer of Samson? 
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera",14,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | ▁ | 
 | Answer | :"
fact_0001,trailing_space,12,True,"Question: Who was the composer of Samson? 
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera",14,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | ▁ | 
 | Answer | :"
fact_0001,space_before_qmark,6,True,"Question: Who was the composer of Samson ?
Answer:",George Frideric Handel,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson

Question: What is the name of the opera that",13,"<bos> | Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ▁? | 
 | Answer | :"
