fact_id,variant_id,question,original_question,correct_answer,possible_answers,type
fact_0000,original,Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,answer_briefly,Who is the father of Zhengde Emperor? Answer briefly.,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,no_explanation,Who is the father of Zhengde Emperor? Give only the answer.,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0000,direct_answer,Directly answer this factual question: Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
fact_0001,original,Who was the composer of Samson?,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,short_direct,Who is the composer of Samson?,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,answer_briefly,Who was the composer of Samson? Answer briefly.,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,no_explanation,Who was the composer of Samson? Give only the answer.,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0001,direct_answer,Directly answer this factual question: Who was the composer of Samson?,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
fact_0002,original,Who was the producer of Reds?,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
fact_0002,short_direct,Who is the producer of Reds?,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
fact_0002,answer_briefly,Who was the producer of Reds? Answer briefly.,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
fact_0002,no_explanation,Who was the producer of Reds? Give only the answer.,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
fact_0002,direct_answer,Directly answer this factual question: Who was the producer of Reds?,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
fact_0003,original,Who was the producer of Mission Kashmir?,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
fact_0003,short_direct,Who is the producer of Mission Kashmir?,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
fact_0003,answer_briefly,Who was the producer of Mission Kashmir? Answer briefly.,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
fact_0003,no_explanation,Who was the producer of Mission Kashmir? Give only the answer.,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
fact_0003,direct_answer,Directly answer this factual question: Who was the producer of Mission Kashmir?,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
fact_0004,original,Who was the composer of Cabaret?,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
fact_0004,short_direct,Who is the composer of Cabaret?,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
fact_0004,answer_briefly,Who was the composer of Cabaret? Answer briefly.,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
fact_0004,no_explanation,Who was the composer of Cabaret? Give only the answer.,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
fact_0004,direct_answer,Directly answer this factual question: Who was the composer of Cabaret?,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
fact_0005,original,Who is the author of The Whole Family?,Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
fact_0005,answer_briefly,Who is the author of The Whole Family? Answer briefly.,Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
fact_0005,no_explanation,Who is the author of The Whole Family? Give only the answer.,Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
fact_0005,direct_answer,Directly answer this factual question: Who is the author of The Whole Family?,Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
fact_0006,original,Who was the composer of Introduction and Allegro?,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer
fact_0006,short_direct,Who is the composer of Introduction and Allegro?,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer
fact_0006,answer_briefly,Who was the composer of Introduction and Allegro? Answer briefly.,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer
fact_0006,no_explanation,Who was the composer of Introduction and Allegro? Give only the answer.,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer
fact_0006,direct_answer,Directly answer this factual question: Who was the composer of Introduction and Allegro?,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer
fact_0007,original,Who was the screenwriter for Uzak?,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
fact_0007,short_direct,Who is the screenwriter for Uzak?,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
fact_0007,answer_briefly,Who was the screenwriter for Uzak? Answer briefly.,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
fact_0007,no_explanation,Who was the screenwriter for Uzak? Give only the answer.,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
fact_0007,direct_answer,Directly answer this factual question: Who was the screenwriter for Uzak?,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
fact_0008,original,Who was the producer of The Descendants?,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
fact_0008,short_direct,Who is the producer of The Descendants?,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
fact_0008,answer_briefly,Who was the producer of The Descendants? Answer briefly.,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
fact_0008,no_explanation,Who was the producer of The Descendants? Give only the answer.,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
fact_0008,direct_answer,Directly answer this factual question: Who was the producer of The Descendants?,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
fact_0009,original,Who was the screenwriter for One Life?,Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
