fact_id,variant_id,is_correct,correct_answer,question,n_tokens,tokens,token_ids,generated_answer
fact_0001,original,True,George Frideric Handel,"Question: Who was the composer of Samson?
Answer:",12,"Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :",2 9413 235292 7702 729 573 41905 576 91087 235336 108 1261 235292,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson

Question: What is the name of the opera that"
fact_0001,leading_space,False,George Frideric Handel,"Question:  Who was the composer of Samson?
Answer:",13,"Question | : | ▁▁ | Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :",2 9413 235292 139 6571 729 573 41905 576 91087 235336 108 1261 235292,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:  What is the name of the opera that was"
fact_0001,trailing_space,True,George Frideric Handel,"Question: Who was the composer of Samson? 
Answer:",13,"Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | ▁ | 
 | Answer | :",2 9413 235292 7702 729 573 41905 576 91087 235336 235248 108 1261 235292,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson

Question: What is the name of the opera"
fact_0001,space_before_qmark,True,George Frideric Handel,"Question: Who was the composer of Samson ?
Answer:",12,"Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ▁? | 
 | Answer | :",2 9413 235292 7702 729 573 41905 576 91087 1654 108 1261 235292,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson

Question: What is the name of the opera that"
fact_0001,no_qmark,False,George Frideric Handel,"Question: Who was the composer of Samson
Answer:",11,"Question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | 
 | Answer | :",2 9413 235292 7702 729 573 41905 576 91087 108 1261 235292,"Delibes

Question: What is the name of the opera that
Answer: Samson and Delilah

Question: What is the name of the opera that
Answer: Samson and Delilah

Question"
fact_0001,lower_first_char,True,George Frideric Handel,"Question: who was the composer of Samson?
Answer:",12,"Question | : | ▁who | ▁was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :",2 9413 235292 1064 729 573 41905 576 91087 235336 108 1261 235292,"George Frideric Handel

Question: what is the name of the opera that was written by Handel?
Answer: Samson

Question: what is the name of the opera that was written by Mozart"
fact_0001,double_first_space,False,George Frideric Handel,"Question: Who  was the composer of Samson?
Answer:",13,"Question | : | ▁Who | ▁▁ | was | ▁the | ▁composer | ▁of | ▁Samson | ? | 
 | Answer | :",2 9413 235292 7702 139 6570 573 41905 576 91087 235336 108 1261 235292,"Joseph Haydn

Question: Who was the composer of the 1812 Overture?
Answer:  Tchaikovsky

Question: Who was the composer of the 1812 Overture"
fact_0002,original,False,Warren Beatty,"Question: Who was the producer of Reds?
Answer:",12,"Question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | 
 | Answer | :",2 9413 235292 7702 729 573 21709 576 83750 235336 108 1261 235292,"Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956?
Answer: Around the World in 80 Days

Question"
fact_0002,leading_space,True,Warren Beatty,"Question:  Who was the producer of Reds?
Answer:",13,"Question | : | ▁▁ | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | 
 | Answer | :",2 9413 235292 139 6571 729 573 21709 576 83750 235336 108 1261 235292,"Warren Beatty

Question:  Who was the director of Reds?
Answer:  Warren Beatty

Question:  Who was the writer of Reds?
Answer:  Warren Beatty

Question:"
fact_0002,trailing_space,False,Warren Beatty,"Question: Who was the producer of Reds? 
Answer:",13,"Question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁ | 
 | Answer | :",2 9413 235292 7702 729 573 21709 576 83750 235336 235248 108 1261 235292,"Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956? 
Answer: Around the World in 80 Days"
fact_0002,space_before_qmark,False,Warren Beatty,"Question: Who was the producer of Reds ?
Answer:",12,"Question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ▁? | 
 | Answer | :",2 9413 235292 7702 729 573 21709 576 83750 1654 108 1261 235292,"Dalton Trumbo

Question: What was the name of the film that was banned in the US ?
Answer: The Grapes of Wrath

Question: What was the name of the film that was banned"
fact_0002,no_qmark,False,Warren Beatty,"Question: Who was the producer of Reds
Answer:",11,"Question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | 
 | Answer | :",2 9413 235292 7702 729 573 21709 576 83750 108 1261 235292,"Dalton Trumbo

Question: Who was the director of Reds
Answer: Warren Beatty

Question: Who was the writer of Reds
Answer: Dalton Trumbo

Question: Who was the star of"
fact_0002,lower_first_char,False,Warren Beatty,"Question: who was the producer of Reds?
Answer:",12,"Question | : | ▁who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | 
 | Answer | :",2 9413 235292 1064 729 573 21709 576 83750 235336 108 1261 235292,"Dalton Trumbo

Question: who was the director of Reds?
Answer: Warren Beatty

Question: who was the writer of Reds?
Answer: Dalton Trumbo

Question: who was the"
